Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Certificates of no impediment to marriage abroad,,,,,,,,,,13825,,,12958,,,12354,,,11519,,,8769,,,7118,,,6180,0,,4953,0,,4609,0,,4290,0,,4000,0,,4245,0,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for applications for certificates of no impediment or certificat de coutume.,,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,"Certified copies of entries in the register of births, deaths, marriages or civil partnerships",,,,,,,,,,5693,,,5829,,,6013,,,6293,,,6117,,,5284,,,4117,0,,2605,0,,1350,0,,759,0,,461,0,,,0,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,"Data for applications for certified copies of entries in the register of births, deaths, marriages or civil partnerships.",,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Emergency passport applications when abroad,,,,,,,,,,1006,,,1002,,,1013,,,1039,,,727,,,791,,,829,0,,893,0,,697,0,,806,0,,795,0,,696,0,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for emergency passport applications from UK citizens needing to leave a country but having no passport.,,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Emergency travel document applications,,,,,,,,,,28076,,,28636,,,27425,,,28697,,,34289,,,37444,,,37805,0,,36556,0,,31929,0,,29486,0,,29583,0,,30112,0,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/emergency-travel-document,Data for applications for a document that lets you leave another country if you can’t get a new or replacement British passport in time to travel.,,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Forwarding record of marriage or civil partnership to Registrar General,,,,,,,,,,0,,,313,,,531,,,553,,,554,,,249,,,32,0,,12,0,,11,0,,3,0,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,Data for forwarding record of marriage or civil partnership to Registrar General.,,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Maritime services (consular),,,,,,,,,,175,,,228,,,244,,,262,,,90,,,89,,,78,0,,60,0,,58,0,,5,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,Data for maritime services (consular).,The costs for this service are calculated jointly with other consular services.,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Consular services: online requests for appointments,,,,,,,,,,12278,12278,,17074,17074,,18078,18078,,17973,,,12573,,,7930,7930,,5033,,1.53,7739,,,19759,,,34848,,,46445,,,53028,,,,,,,,,,,,,,,,,,,,,Booking events and resources,,Data for requests for appointments at consular offices.,Costs are estimates but include both contract costs and staff costs (including costs for assisted digital). ,Figures are for the digital service only.,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Consular services: miscellaneous,,,,,,,,,,65,,,81,,,85,,,86,,,84,,,104,,,126,0,,116,0,,93,0,,40,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,Data for miscellaneous consular services provided by UK embassies and consulates.,The costs for this service are calculated jointly with maritime consular services.,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,"Notices of intended marriage, civil partnership, overseas relationship",,,,,,,,,,4133,,,3940,,,3574,,,3435,,,3194,,,2932,,,2677,0,,2274,0,,2084,0,,1972,0,,1855,0,,1909,0,,,,,,,,,,,,,,,,,,,,Providing information,,"Data for notices of intended marriage, civil partnership, overseas relationship received at consular offices.",,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Registrations of a birth abroad,,,,,,,5339,,,5530,,,5671,,,5757,,,5996,,,5668,,,4846,,,4093,0,,2595,0,,1355,0,,391,0,,130,0,,22,0,,,,,,,,,,,,,,,,,,,,Registering,https://www.gov.uk/register-a-birth,Data for applications to register a birth abroad with the General Register Office in the UK.,,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Registrations of a death abroad,,,,,,,236,,,238,,,246,,,283,,,295,,,281,,,218,,,223,0,,165,0,,116,0,,45,0,,13,0,,2,0,,,,,,,,,,,,,,,,,,,,Registering,https://www.gov.uk/register-a-death,Data for applications to register a death abroad with the General Register Office in the UK.,,,Individuals,Fees and charges
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Solemnising or attending a marriage,,,,,,,,,,95,,,108,,,111,,,106,,,101,,,127,,,158,0,,208,0,,237,0,,235,0,,234,0,,237,0,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for solemnising or attending marriages abroad.,,,Individuals,Fees and charges
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,HMRC agent authorisations,1788457,411188,6.49,,,,2053966,473283,6.49,2057702,535537,6.24,2041218,547851,6.17,2089911,570426,6.14,2107843,593705,6.06,2075808,602910,5.84,2033113,630301,5.53,2018384,664659,5.23,1948518,689126,2.46,1894380,708344,2.52,1921855,771806,3.00,1916075,791807,2.82,1950926,849419,2.70,2036490,921267,2.25,2007631,923864,1.90,2040235,986045,1.80,2082964,1000274,1.81,,,,,,,Requesting a licence or consent,http://www.hmrc.gov.uk/agents/authorisation/,"Data for registrations, licence requests and authorisations submitted by tax agents, advisers and accountants.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","Transactions include registrations, licence requests and authorisations.",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Alcohol and Tobacco Warehousing Declarations,,,,,,,,,,126654,39412,,171535,79864,,179640,124168,,180257,163800,,181757,165324,,189782,174303,0.09,203176,189318,0.27,211534,196997,0.44,223502,209619,0.59,229238,214862,0.73,230710,216023,0.73,235806,218584,0.71,237719,220535,0.71,239540,222639,0.71,239962,223199,0.73,240437,226689,0.72,,,,,,,Providing information,,"Data for applications to become an authorised warehouse keeper, and warrants declaring duty payable on goods released for UK consumption.",,"A transaction is an application to become an authorised warehousekeeper or a warrant declaring duty payable on alcohol and tobacco goods being released for consumption in the UK. These do not include payment transactions.
",Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Billing authority updates to the Council Tax list,373000,159000,,,,,374045,,,347024,,,352771,,,357497,,,368415,,,369167,,,376010,,,375648,,,382511,177279,,400224,185192,,407751,185100,,422065,191879,,429186,196787,,433616,204427,,438999,220496,,451991,237201,,464527,255973,,474327,273183,,488454,287573,,Providing information,,Data for billing authority updates to the Council Tax list.,,,Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Billing authority updates to the rating list,95000,49000,,,,,95278,,,94173,,,97484,,,99588,,,104495,,,105301,,,106614,,,107743,,,108933,61222,,110520,61912,,112490,63565,,113847,64256,,116175,65017,,119374,67928,,122552,69656,,128122,74025,,132300,76839,,133416,77756,,133896,78592,,Providing information,,Data for billing authority updates to the rating list.,,,Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Business rates appeals,203000,88000,,,,,136323,,,124480,,,115575,,,108102,,,101360,,,98605,,,101314,,,98797,,,150942,119195,,275997,217399,,278246,221318,,276974,221577,,227901,178503,,102537,84140,,96299,77554,,97771,73761,,113785,84442,,132004,94861,,114207,81150,,Providing information,,Data for requests to the Valuation Office Agency to change a property's rateable value.,,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Applications for recognition of charitable status and gift aid,372252,0,,,,,169495,0,,340588,11346,,354906,31549,,375804,64504,,390484,108595,,377457,141246,,377645,162940,0.04,371554,170975,2.62,352435,173204,3.32,335122,176372,3.00,322817,177187,3.10,324018,180101,4.03,316636,183507,3.79,316041,186187,3.77,314730,187886,3.64,308473,191636,4.21,308088,194619,4.75,,,,,,,Requesting a licence or consent,,"Data for applications for recognition of charitable status, changes of details and gift aid transactions.",,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Child Benefit transactions,5881026,,6.20,,,,5315183,,5.20,5513864,125291,5.20,5685104,313818,5.21,5739005,496816,6.16,5886965,638006,5.24,5754687,604192,7.56,5586987,579523,7.97,5482751,494269,7.20,5331224,449269,7.95,5270366,471976,8.05,5253790,468053,8.09,5295913,479600,8.02,5322639,466587,8.17,5434126,429654,8.00,5553824,333489,7.65,5401177,238711,7.82,5344310,172502,7.36,,,,,,,"Requesting benefits, payments or loans",https://www.gov.uk/child-benefit/overview,Data for initial claims and changes to circumstances to help parents or guardians with the cost of raising a child.,"1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.","The volume of transactions includes initial claims and changes to circumstances, but not individual payments.",Individuals,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Construction Industry Scheme transactions,3807258,2340222,1.42,,,,3550332,2480380,1.29,3651076,2615965,1.18,3668530,2705824,1.06,3701690,2786675,0.97,3752137,2876048,0.89,3715019,2858506,1.57,3738221,2899526,1.96,3761761,2949986,2.49,3795096,3007585,2.76,3897065,3171049,1.78,3961514,3263181,2.05,4040982,3348509,1.72,4131895,3452702,1.72,4416410,3725252,1.59,4704944,4037684,1.57,4972063,4350155,1.46,5158653,4579840,1.40,,,,,,,Providing information,http://www.hmrc.gov.uk/cis/,"Data for form submissions, amended submissions and registrations with the scheme, which defines how to handle payments to subcontractors.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.","The volume of transactions includes initial claims and changes to circumstances and forms received digitally, but not individual payments made.",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Corporation Tax transactions,17950000,5250000,1.18,,,,17461000,5140000,0.95,16446435,4886796,0.94,16489148,4765242,0.92,16552102,4581482,0.92,16692424,4396125,0.98,16749320,4480666,1.07,16920797,4589618,1.14,14113693,4680965,1.40,11348677,4751124,1.79,8603205,4776736,2.09,6084591,4751868,2.66,6177290,4781896,2.20,6381101,4942743,2.04,6500014,5073571,2.18,6547289,5145490,2.31,6634222,5239330,2.67,6705310,5282822,2.77,,,,,,,Providing information,http://www.hmrc.gov.uk/ct/index.htm,"Data for tax payments made on company profits, and on the profits of permanent establishments of non-UK resident companies that trade in the EU.","The cost of these transactions will include all the back office activity undertaken to deal with work arising from the contacts. It excludes the cost of compliance and enforcement activity. <br>1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.

","The transaction is defined as each customer contact, both incoming and outgoing (counted individually), within a process. This is counted by the channel used to make that contact. Estimates from samples are used where a physical count is not available. ",Business,Taxpayers
HM Revenue and Customs,HMRC,Valuation Office Agency,VOA,Council Tax valuation appeals,15800,3800,,,,,26541,,,29309,,,32783,,,35376,,,37107,,,36755,,,34990,,,34970,,,35467,7518,,37382,7622,,40893,8261,,43300,8793,,42350,6895,,44177,6650,,44758,6827,,42425,5759,,42274,5475,,40315,6209,,34175,6016,,Providing information,https://www.gov.uk/council-tax-appeals,Data for Council Tax valuation appeals.,,,Individuals,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Customs transactions,97703808,96191696,0.18,,,,98634777,98341502,0.15,110570730,110376986,0.12,115623150,115442713,0.12,121223934,121049124,0.12,124928907,124755649,0.12,127778144,127595164,0.13,130600462,130408155,0.13,134543702,134359709,0.13,138547796,138377329,0.13,142484891,142360139,0.10,146437222,146353500,0.07,151274535,151216868,0.04,146816303,146785484,0.04,144270801,144240479,0.02,139458627,139431089,0.02,134526771,134503126,0.01,137327249,137306173,0.01,,,,,,,Providing information,,"Data for Customs Handling of Import Export Freight (CHIEF), Import Control System (ICS), National Export System (NES), National Transit, Electronic Binding Tariff Information, Intrastat and New Computerised Transit Sytem (NCTS).","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.","The transaction is defined as each customer contact, both in-coming and out-going (counted individually), within a process.  This is counted by the channel used to make that contact.  We are using an estimate from a sample where a physical count is not available.  The cost of these transactions will include all the back office activity undertaken to deal with work arising from the contacts.  It excludes the cost of compliance and enforcement activity. Transactions include declarations and telephone contacts.",Business,Taxpayers
